% Magnetic field reconstruction point table
% Method: Gaussian RBF
% Grid size: 100 x 100 (rows=y, columns=x)
% Length unit: mm
% Magnetic field unit: T
% z plane: -20 mm
% Data order: y-major rows, x increasing within each row
% Columns use tab separators
% x(mm)	y(mm)	z(mm)	Bx(T)	By(T)	Bz(T)
-83	-93	-20	-0.000139983575532	0.000192058678118	-0.000413174430512
-81	-93	-20	-0.000142373882846	0.000143460048727	-0.000408752275048
-79	-93	-20	-0.000143597843941	8.94333278833e-05	-0.000400025605756
-77	-93	-20	-0.000143886906574	3.17135058839e-05	-0.000387457430213
-75	-93	-20	-0.000143560782326	-2.76119921621e-05	-0.000371719873498
-73	-93	-20	-0.000143015473676	-8.61855031339e-05	-0.000353674645156
-71	-93	-20	-0.000142705048546	-0.000141489110803	-0.000334341037086
-69	-93	-20	-0.000143117881329	-0.000190978076034	-0.000314852618309
-67	-93	-20	-0.000144748560818	-0.00023223103911	-0.000296404681626
-65	-93	-20	-0.000148067091413	-0.000263108258219	-0.000280195286025
-63	-93	-20	-0.000153487344349	-0.000281907563381	-0.000267363354438
-61	-93	-20	-0.000161336915054	-0.000287506787922	-0.000258927667998
-59	-93	-20	-0.000171830585362	-0.000279481338646	-0.000255730701517
-57	-93	-20	-0.00018504946098	-0.000258186369904	-0.000258391049632
-55	-93	-20	-0.000200927555638	-0.000224794751503	-0.00026726770369
-53	-93	-20	-0.00021924713881	-0.00018128459947	-0.000282438686724
-51	-93	-20	-0.000239643583319	-0.000130373424045	-0.000303695592744
-49	-93	-20	-0.000261619784622	-7.53997178566e-05	-0.000330554481392
-47	-93	-20	-0.000284569526291	-2.01567768411e-05	-0.000362282437289
-45	-93	-20	-0.000307808492367	3.1312602513e-05	-0.000397938007832
-43	-93	-20	-0.000330611033191	7.49485030271e-05	-0.000436422773059
-41	-93	-20	-0.000352250328026	0.000106918652092	-0.000476540554625
-39	-93	-20	-0.000372039296762	0.000123859253636	-0.000517060297193
-37	-93	-20	-0.000389369521544	0.000123095143941	-0.000556778490307
-35	-93	-20	-0.000403745558215	0.000102823395401	-0.000594577151067
-33	-93	-20	-0.000414812339841	6.22466305732e-05	-0.00062947383907
-31	-93	-20	-0.00042237387577	1.64558751727e-06	-0.000660660882202
-29	-93	-20	-0.000426402089506	-7.76153368682e-05	-0.000687531890753
-27	-93	-20	-0.000427035365183	-0.000173151064555	-0.000709694650145
-25	-93	-20	-0.000424567126182	-0.000281683848228	-0.000726970523805
-23	-93	-20	-0.000419425488944	-0.000399228035754	-0.000739381483066
-21	-93	-20	-0.000412145662213	-0.000521319096121	-0.00074712673339
-19	-93	-20	-0.00040333724699	-0.000643271140054	-0.000750551563083
-17	-93	-20	-0.000393648898384	-0.000760445099914	-0.00075011145767
-15	-93	-20	-0.00038373291557	-0.000868509044314	-0.000746334677302
-13	-93	-20	-0.000374212225961	-0.000963672849282	-0.000739786385064
-11	-93	-20	-0.000365651936929	-0.00104288156496	-0.000731037060886
-9	-93	-20	-0.000358537171243	-0.00110395512499	-0.000720637377006
-7	-93	-20	-0.000353258321774	-0.00114566626666	-0.000709100999316
-5	-93	-20	-0.000350104207044	-0.00116775331253	-0.000696895976242
-3	-93	-20	-0.000349262936527	-0.00117086941498	-0.000684444549963
-1	-93	-20	-0.000350829658354	-0.00115647458351	-0.000672130439611
1	-93	-20	-0.000354819812967	-0.00112668092669	-0.000660311963946
3	-93	-20	-0.000361186097386	-0.00108406472999	-0.000649338843536
5	-93	-20	-0.000369837087987	-0.00103146102457	-0.000639570189411
7	-93	-20	-0.000380655394056	-0.000971757046733	-0.000631391071202
9	-93	-20	-0.000393513324676	-0.000907700418039	-0.000625225171564
11	-93	-20	-0.000408284338317	-0.000841736074179	-0.000621541367002
13	-93	-20	-0.000424848985011	-0.000775883113718	-0.000620852603676
15	-93	-20	-0.000443094610821	-0.000711659083915	-0.000623706121081
17	-93	-20	-0.000462908729648	-0.000650055082218	-0.000630664864779
19	-93	-20	-0.000484166628171	-0.000591560771001	-0.000642280760637
21	-93	-20	-0.000506714402695	-0.000536234322953	-0.000659061330961
23	-93	-20	-0.000530349179272	-0.000483808752991	-0.000681431850706
25	-93	-20	-0.000554798692088	-0.000433823318562	-0.000709695807374
27	-93	-20	-0.000579702649053	-0.000385766884242	-0.000743996788586
29	-93	-20	-0.000604598367989	-0.000339219467758	-0.000784285038342
31	-93	-20	-0.000628913005807	-0.000293978643662	-0.000830291776709
33	-93	-20	-0.000651964326657	-0.000250159019923	-0.00088151396895
35	-93	-20	-0.000672971380294	-0.000208255481204	-0.000937211582089
37	-93	-20	-0.000691075723054	-0.00016916409968	-0.000996418523659
39	-93	-20	-0.000705372961004	-0.000134158285307	-0.00105796748181
41	-93	-20	-0.000714953491032	-0.00010482158503	-0.00112052785434
43	-93	-20	-0.000718950432961	-8.29422368858e-05	-0.00118265495063
45	-93	-20	-0.000716591959838	-7.03778462063e-05	-0.00124284775931
47	-93	-20	-0.000707254617212	-6.89011192572e-05	-0.00129961187217
