% Model,Multiple Magnets Simulation_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Aug 17 2026, 10:16"
% Dimension,3
% Nodes,64
% Expressions,12
% Description,"Bx, By, Bz, Gxx, Gxy, Gxz, Gyx, Gyy, Gyz, Gzx, Gzy, Gzz"
% Length unit,m
% x,y,z,mfnc.Bx (T),mfnc.By (T),mfnc.Bz (T),d(mfnc.Bx;x) (T/m),d(mfnc.Bx;y) (T/m),d(mfnc.Bx;z) (T/m),d(mfnc.By;x) (T/m),d(mfnc.By;y) (T/m),d(mfnc.By;z) (T/m),d(mfnc.Bz;x) (T/m),d(mfnc.Bz;y) (T/m),d(mfnc.Bz;z) (T/m)
-0.4285714285714286,-0.7142857142857143,-0.2,9.420088256028972E-8,1.7505810037128687E-8,-2.3908691748351025E-8,4.386739216285838E-7,2.2302427231188376E-7,1.449251905479296E-7,2.2302427231188376E-7,-1.4631537062157542E-7,-6.014491214374395E-8,1.449251905479296E-7,-6.014491214374395E-8,-2.9229469671749707E-7
-0.1428571428571429,-0.7142857142857143,-0.2,1.9877995202506373E-7,2.1634417397064654E-7,1.467116587766272E-7,-3.014630316865391E-7,1.1580576895731215E-6,1.0719390966971367E-6,1.1580576895731215E-6,3.9453314257448023E-7,1.2212769754079023E-6,1.0719390966971367E-6,1.2212769754079023E-6,-8.466017197096688E-8
0.1428571428571428,-0.7142857142857143,-0.2,-1.4501204924802757E-7,2.7531852051167104E-7,2.1059808816457233E-7,-8.341123491896675E-7,-9.776765665745408E-7,-8.661456401724784E-7,-9.776765665745408E-7,6.384022142544824E-7,1.703819258019243E-6,-8.661456401724784E-7,1.703819258019243E-6,2.0851942629207853E-7
0.4285714285714284,-0.7142857142857143,-0.2,-1.2562636797332482E-7,4.7134942276440286E-8,1.4259655387737315E-8,3.9847628210951794E-7,-3.933293431272207E-7,-3.0887690974885977E-7,-3.933293431272207E-7,-1.511410840806349E-7,9.6497033566683E-8,-3.0887690974885977E-7,9.6497033566683E-8,-2.4664520706617205E-7
0.7142857142857142,-0.7142857142857143,-0.2,-4.414212103114541E-8,-2.5455195373273668E-9,-1.9634632690494405E-8,1.7130829966285295E-7,-5.006172139343499E-8,-1.692150320535408E-8,-5.006172139343499E-8,-8.144727006708145E-8,-4.359411596330963E-8,-1.692150320535408E-8,-4.359411596330963E-8,-9.007689039984425E-8
1,-0.7142857142857143,-0.2,-1.4121809348732953E-8,-6.832335019988625E-9,-1.761887775790801E-8,5.807200047205566E-8,3.4331511147535978E-9,1.786578493404857E-8,3.4331511147535978E-9,-2.9910027810915714E-8,-3.087467232609076E-8,1.786578493404857E-8,-3.087467232609076E-8,-2.8344177059854702E-8
-1,-0.4285714285714286,-0.2,3.247786366325695E-9,5.145160591895953E-9,-2.5233444112765276E-8,6.517808408145577E-9,-4.014923187982903E-9,-5.2672270179376336E-8,-4.014923187982903E-9,3.593507677736121E-8,-2.552351834574885E-8,-5.2672270179376336E-8,-2.552351834574885E-8,-4.2591979763068065E-8
-0.7142857142857143,-0.4285714285714286,-0.2,1.1737631671316314E-8,-2.645397781689987E-9,-4.689947936574434E-8,7.918494122595077E-8,-6.56158528763489E-8,-1.0250039159925687E-7,-6.56158528763489E-8,5.127151280571336E-8,-7.053933319180505E-8,-1.0250039159925687E-7,-7.053933319180505E-8,-1.3093753833597146E-7
-0.4285714285714286,-0.4285714285714286,-0.2,9.598995573781571E-8,-4.8298243252620286E-8,-7.203990220712779E-8,7.060729762440666E-7,-3.0526142196931056E-7,4.5068454065916345E-8,-3.0526142196931056E-7,-1.3561302714440583E-7,-2.719730375180593E-7,4.5068454065916345E-8,-2.719730375180593E-7,-5.703504254381156E-7
-0.1428571428571429,-0.4285714285714286,-0.2,4.887007589808818E-7,-2.2114568146339547E-7,3.924263826160841E-7,6.808945463307625E-7,-8.550192291179855E-7,4.694160857992725E-6,-8.550192291179855E-7,-2.7295598831713873E-6,-1.8881718907974572E-6,4.694160857992725E-6,-1.8881718907974572E-6,2.0419840869776045E-6
0.1428571428571428,-0.4285714285714286,-0.2,-4.122406230905263E-7,-2.261549016732038E-7,6.559904483085239E-7,-1.1664781853089738E-6,7.972451260831699E-7,-4.58963921624484E-6,7.972451260831699E-7,-3.6391990429797765E-6,-1.8687975040341465E-6,-4.58963921624484E-6,-1.8687975040341465E-6,4.787418574638083E-6
0.4285714285714284,-0.4285714285714286,-0.2,-1.7444837041316043E-7,-7.22814540624648E-8,-3.0475941378429364E-9,8.569361804092745E-7,2.5288977205602006E-7,-5.242412969289184E-7,2.5288977205602006E-7,-4.825889010783366E-7,-3.2975264193860186E-7,-5.242412969289184E-7,-3.2975264193860186E-7,-3.7353805758233974E-7
0.7142857142857142,-0.4285714285714286,-0.2,-4.1237583991940595E-8,-3.160391799192355E-8,-4.30910892058649E-8,2.151222872944474E-7,8.196854830163333E-8,2.383402417377849E-8,8.196854830163333E-8,-9.137241612617094E-8,-1.325581798127229E-7,2.383402417377849E-8,-1.325581798127229E-7,-1.2418536458153332E-7
1,-0.4285714285714286,-0.2,-7.84894051419767E-9,-1.4741191318856782E-8,-3.0076292117087804E-8,5.3022399323713104E-8,4.114337110015279E-8,4.927925906804959E-8,4.114337110015279E-8,-1.757259844961069E-8,-5.913118154221473E-8,4.927925906804959E-8,-5.913118154221473E-8,-3.570829864503952E-8
-1,-0.1428571428571429,-0.2,9.578122851127902E-9,2.190436284732506E-8,-3.1514581901428215E-8,4.406044503814307E-9,6.34279544406974E-8,-7.354409619498146E-8,6.34279544406974E-8,7.728295831054304E-8,-1.575417246622843E-8,-7.354409619498146E-8,-1.575417246622843E-8,-8.167177622852257E-8
-0.7142857142857143,-0.1428571428571429,-0.2,2.7272784747423784E-9,4.377564449365736E-8,-6.427905984592432E-8,-6.780587785543695E-8,6.182946044648081E-8,-1.7013984809712275E-7,6.182946044648081E-8,3.1066560432400826E-7,-3.956330321746048E-8,-1.7013984809712275E-7,-3.956330321746048E-8,-2.430956771791866E-7
-0.4285714285714286,-0.1428571428571429,-0.2,-1.316392276783972E-8,1.4920723769916642E-8,-1.344918664725026E-7,6.92590761426252E-8,-3.3796282676127205E-7,-3.0002617004326866E-7,-3.3796282676127205E-7,5.698103744078843E-7,-1.4870510441308136E-7,-3.0002617004326866E-7,-1.4870510441308136E-7,-6.393738785272024E-7
-0.1428571428571429,-0.1428571428571429,-0.2,5.9170564152378713E-8,-1.498321320676903E-7,-1.8291712104281597E-7,1.8483422394249156E-7,-7.577597782865917E-7,1.0270290339328777E-7,-7.577597782865917E-7,1.3005329862096255E-6,-5.075292853297619E-7,1.0270290339328777E-7,-5.075292853297619E-7,-1.4857671326848416E-6
0.1428571428571428,-0.1428571428571429,-0.2,-3.655055366225378E-8,-2.1721112855631227E-7,-1.3152850260709406E-7,-4.6265284455571304E-7,4.862183442551862E-7,-1.2807859745260782E-8,4.862183442551862E-7,1.6635220717570691E-6,-1.0876932847920988E-6,-1.2807859745260782E-8,-1.0876932847920988E-6,-1.1991083160372167E-6
0.4285714285714284,-0.1428571428571429,-0.2,-5.7390954950531016E-8,-8.062405475287866E-8,-1.4929681141628474E-7,1.7640202918646895E-7,2.7884057988150895E-7,2.8059312311766074E-8,2.7884057988150895E-7,4.5897024535440793E-7,-6.515312218043151E-7,2.8059312311766074E-8,-6.515312218043151E-7,-6.359392505326449E-7
